datetime,ip,name,ifIndex,status
2025-06-23 15:11:44,192.168.200.200,Router-AS Indihome,231,1,snmp
2025-06-23 15:11:44,192.168.221.253,Router-AS V-221LOKAL,241,1,snmp
2025-06-23 15:11:44,37.37.1.1,Router-AS VLAN-331,221,1,snmp
2025-06-23 15:11:44,79.2.1.2,Router-AS VLAN581,201,1,snmp
2025-06-23 15:11:44,80.5.1.1,Router-AS VLAN-801,1,1,snmp
2025-06-23 15:11:44,8.8.8.8,Google DNS (Test),1,0,ping
2025-06-23 15:11:45,10.50.50.1,Router-AS ether9,151,1,snmp
2025-06-23 15:11:45,10.51.1.2,Router-AS L2TP-AWS,131,1,snmp
2025-06-23 15:11:45,101.255.56.242,Router-AS Bridge-Publik,171,1,snmp
2025-06-23 15:11:45,103.245.16.237,Router-AS Ether2-Quantum,92,1,snmp
2025-06-23 15:11:45,11.6.1.2,Router-AS Ether10,161,1,snmp
2025-06-23 15:11:45,131.131.7.2,Router-AS V-575-DRCB,251,1,snmp
2025-06-23 15:11:45,170.6.6.2,Router-AS VLAN13,181,1,snmp
2025-06-23 15:11:45,174.24.25.2,Router-AS VLAN544,191,1,snmp
2025-06-23 15:11:45,192.168.200.200,Router-AS Indihome,231,1,snmp
2025-06-23 15:11:45,192.168.221.253,Router-AS V-221LOKAL,241,1,snmp
2025-06-23 15:11:45,37.37.1.1,Router-AS VLAN-331,221,1,snmp
2025-06-23 15:11:45,79.2.1.2,Router-AS VLAN581,201,1,snmp
2025-06-23 15:11:45,80.5.1.1,Router-AS VLAN-801,1,1,snmp
2025-06-23 15:11:45,8.8.8.8,Google DNS (Test),1,0,ping
2025-06-23 15:11:46,10.50.50.1,Router-AS ether9,151,1,snmp
2025-06-23 15:11:46,10.51.1.2,Router-AS L2TP-AWS,131,1,snmp
2025-06-23 15:11:46,101.255.56.242,Router-AS Bridge-Publik,171,1,snmp
2025-06-23 15:11:46,103.245.16.237,Router-AS Ether2-Quantum,92,1,snmp
2025-06-23 15:11:46,11.6.1.2,Router-AS Ether10,161,1,snmp
2025-06-23 15:11:46,131.131.7.2,Router-AS V-575-DRCB,251,1,snmp
2025-06-23 15:11:46,170.6.6.2,Router-AS VLAN13,181,1,snmp
2025-06-23 15:11:46,174.24.25.2,Router-AS VLAN544,191,1,snmp
2025-06-23 15:11:46,192.168.200.200,Router-AS Indihome,231,1,snmp
2025-06-23 15:11:46,192.168.221.253,Router-AS V-221LOKAL,241,1,snmp
2025-06-23 15:11:46,37.37.1.1,Router-AS VLAN-331,221,1,snmp
2025-06-23 15:11:46,79.2.1.2,Router-AS VLAN581,201,1,snmp
2025-06-23 15:11:46,80.5.1.1,Router-AS VLAN-801,1,1,snmp
2025-06-23 15:11:46,8.8.8.8,Google DNS (Test),1,0,ping
